OXY_Open,OXY_High,OXY_Low,OXY_Adj_Close,OXY_Adj_PD,OXY_Volume,OIL_Open,OIL_Close,OIL_High,OIL_Low,Max/Min Label,Rel_Max,Rel_Min,Max/Min Label_P,Rel_Max_P,Rel_Min_P,Max/Min Label_dP,Rel_Max_dP,Rel_Min_dP
77.57,77.9,76.79,61.35,0.006562756358,5019200,48.55,49.99,50.14,48.21,1,61.35,#N/A,1,0.006562756358,#N/A,0,#N/A,#N/A
77.3,77.3,76,60.06,-0.02102689487,4496700,49.63,48.01,49.7,47.76,0,#N/A,#N/A,2,#N/A,-0.02102689487,0,#N/A,#N/A
75.1,76.15,74.79,59.86,-0.00333000333,4638200,47.81,48.32,48.63,46.9,0,#N/A,#N/A,1,-0.00333000333,#N/A,0,#N/A,#N/A
75.02,75.15,73.35,58.01,-0.03090544604,5846500,48.17,47.1,48.22,46.96,0,#N/A,#N/A,2,#N/A,-0.03090544604,2,#N/A,-0.03090544604
73.31,73.69,71.43,56.66,-0.02327184968,5624200,47.33,45.85,47.48,45.7,2,#N/A,56.66,0,#N/A,#N/A,0,#N/A,#N/A
71.87,72.77,71.83,57.03,0.006530180021,5324800,46.06,46.59,47,45.67,1,57.03,#N/A,1,0.006530180021,#N/A,1,0.006530180021,#N/A
71.6,71.8,70.93,56.05,-0.01718393828,5411300,46.31,45.77,46.41,45.48,0,#N/A,#N/A,2,#N/A,-0.01718393828,0,#N/A,#N/A
71.53,71.81,70.81,55.89,-0.002854594112,4220500,46.01,45.95,46.93,45.85,0,#N/A,#N/A,1,-0.002854594112,#N/A,0,#N/A,#N/A
70.86,71.31,70.49,55.63,-0.00465199499,4337600,45.91,45.88,46.3,45.09,2,#N/A,55.63,2,#N/A,-0.00465199499,0,#N/A,#N/A
71.12,71.89,70.71,56.66,0.01851518965,4294500,46.45,46.83,47.14,46.38,1,56.66,#N/A,1,0.01851518965,#N/A,1,0.01851518965,#N/A
72.58,72.8,71.3,56.35,-0.00547123191,5204000,46.99,47.65,47.83,46.99,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
71.39,71.39,69.15,54.92,-0.02537710736,5802100,47.42,45.89,48.26,45.65,0,#N/A,#N/A,2,#N/A,-0.02537710736,2,#N/A,-0.02537710736
69.8,70.2,69.22,54.7,-0.004005826657,4688300,46.05,47.35,47.66,45.74,0,#N/A,#N/A,1,-0.004005826657,#N/A,0,#N/A,#N/A
68.75,68.97,67.83,54.17,-0.009689213894,4862200,47.06,45.97,47.28,45.63,2,#N/A,54.17,2,#N/A,-0.009689213894,0,#N/A,#N/A
69.07,72.18,68.65,56.74,0.04744323426,8044800,46.14,48.69,48.96,45.7,0,#N/A,#N/A,1,0.04744323426,#N/A,1,0.04744323426,#N/A
71.82,73.13,71.29,56.93,0.003348607684,6467700,48.87,49.24,49.81,47.99,0,#N/A,#N/A,2,#N/A,0.003348607684,0,#N/A,#N/A
72.56,73.37,71.98,57.54,0.01071491305,5110500,49.18,50.19,49.25,48.21,1,57.54,#N/A,1,0.01071491305,#N/A,0,#N/A,#N/A
72.92,73.18,72.43,57.46,-0.001390337157,3002200,50.02,50.89,51.14,49.74,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
72.84,73.23,72.09,57.33,-0.002262443439,4532700,50.93,50.87,51.55,50.34,2,#N/A,57.33,2,#N/A,-0.002262443439,2,#N/A,-0.002262443439
72.74,74,72.6,58.03,0.01221001221,5269400,51.76,52.51,52.75,51.32,0,#N/A,#N/A,1,0.01221001221,#N/A,0,#N/A,#N/A
73.81,73.99,73.22,58.03,0,3117600,52.72,51.93,52.84,51.33,0,#N/A,#N/A,2,#N/A,0,0,#N/A,#N/A
74.11,74.87,74.03,59,0.01671549199,3766400,51.63,53.14,53.73,51.3,1,59,#N/A,1,0.01671549199,#N/A,1,0.01671549199,#N/A
74.53,74.82,73.28,58.15,-0.01440677966,3694800,53.11,52.41,53.32,52.12,2,#N/A,58.15,2,#N/A,-0.01440677966,2,#N/A,-0.01440677966
73.78,74.45,73.37,58.4,0.004299226139,4128900,52.48,51.81,52.87,51.61,1,58.4,#N/A,1,0.004299226139,#N/A,0,#N/A,#N/A
73.36,74.16,72.84,58.32,-0.001369863014,4574000,51.6,52.03,52.15,50.92,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.6,74.6,72.76,57.78,-0.009259259259,4494200,52.06,51.95,52.55,51.5,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
73.22,73.22,71.86,57.19,-0.01021114573,5608500,51.93,51.52,52.29,51.16,2,#N/A,57.19,2,#N/A,-0.01021114573,2,#N/A,-0.01021114573
73.28,73.31,71.77,57.27,0.001398845952,3814000,51.72,51.68,52.15,51.25,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
73.42,75.6,72.97,58.8,0.02671555788,5840000,52.13,52.67,53.14,52.09,1,58.8,#N/A,1,0.02671555788,#N/A,1,0.02671555788,#N/A
73.95,74.71,73.38,58.47,-0.005612244898,4088600,52.6,51.38,52.72,51.17,2,#N/A,58.47,2,#N/A,-0.005612244898,2,#N/A,-0.005612244898
73.47,74.66,72.79,58.88,0.007012142979,4983800,51.4,51.78,51.94,51.12,0,#N/A,#N/A,1,0.007012142979,#N/A,0,#N/A,#N/A
74.72,75.4,73.9,59.21,0.005604619565,6117200,51.89,51.46,52.01,50.5,1,59.21,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
74.83,75.5,74.35,58.73,-0.008106738727,4943800,51.44,50.79,51.83,50.22,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,#N/A
73.89,74.76,73.55,58.1,-0.01072705602,5823000,50.41,49.71,50.58,49.31,0,#N/A,#N/A,2,#N/A,-0.01072705602,0,#N/A,#N/A
